Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
212,Chimezie Metu\metuch01,C,24,SAC,27,16,615,94,230,.409,28,103,.272,66,127,.520,.470,28,36,.778,20,150,170,27,24,18,24,38,244
213,Isaac Okoro\okorois01,SF,21,CLE,27,23,767,89,196,.454,25,78,.321,64,118,.542,.518,41,57,.719,33,65,98,50,22,7,31,67,244
214,Josh Christopher\chrisjo01,SG,20,HOU,34,2,544,88,194,.454,26,75,.347,62,119,.521,.521,40,50,.800,22,45,67,59,29,3,52,38,242
215,Isaiah Stewart\stewais01,C,20,DET,31,31,791,103,195,.528,2,16,.125,101,179,.564,.533,32,48,.667,79,178,257,32,12,38,38,86,240
216,Armoni Brooks\brookar01,SG,23,HOU,33,8,599,81,221,.367,59,186,.317,22,35,.629,.500,16,18,.889,9,56,65,47,20,7,19,54,237
217,Garrett Temple\templga01,SG,35,NOP,38,12,752,83,205,.405,48,132,.364,35,73,.479,.522,22,30,.733,25,84,109,50,31,17,33,62,236
218,George Hill\hillge01,SG,35,MIL,33,12,845,85,191,.445,28,91,.308,57,100,.570,.518,36,38,.947,27,77,104,79,26,5,31,48,234
219,Damion Lee\leeda03,SG,29,GSW,28,2,580,85,193,.440,33,95,.347,52,98,.531,.526,30,35,.857,9,78,87,28,15,4,16,44,233
220,Kevon Looney\looneke01,C,25,GSW,39,39,779,100,185,.541,0,1,.000,100,184,.543,.541,33,56,.589,95,165,260,61,21,31,31,105,233
221,Rudy Gay\gayru01,PF,35,UTA,25,0,498,79,184,.429,40,106,.377,39,78,.500,.538,33,41,.805,24,92,116,27,13,7,19,47,231
222,Jalen McDaniels\mcdanja01,SF,24,CHO,34,2,608,86,171,.503,29,75,.387,57,96,.594,.588,29,44,.659,26,93,119,41,20,14,27,62,230
223,Jarred Vanderbilt\vandeja01,PF,22,MIN,35,28,892,98,172,.570,2,10,.200,96,162,.593,.576,32,49,.653,113,211,324,47,54,28,38,92,230
